"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","fhist"
1,2,3,1,1,1,1,2,1.31,Inf,0,0.03756,0.17592,0.03676,0,706.076041149301,0.0122138060355543,8.09805414551958,2.18155643449591,0.158314568116822,0.318386600607607,0.260654697776132,"meg","one-way"
1,2,3,1,1,1,1,2,1.32,Inf,0,0.03884,0.17824,0.03792,0,694.239075740375,0.0131574390322508,8.63570429841941,2.14498387495868,0.170545878315945,0.339525086646583,0.26232582607791,"meg","one-way"
1,2,3,1,1,1,1,2,1.33,Inf,0,0.04108,0.18136,0.04,0.00184,681.774380206004,0.0141168486840431,9.14243139839055,2.10647182361817,0.182981684503506,0.359447788556995,0.264102271231261,"meg","one-way"
1,2,3,1,1,1,1,2,1.34,Inf,0,0.04196,0.18452,0.04072,0.00184,669.628649635352,0.0151038660414313,9.62431405593883,2.06894527529495,0.195775339994992,0.378393695619551,0.266800873023133,"meg","one-way"
1,2,3,1,1,1,1,2,1.35,Inf,0,0.04296,0.1884,0.04168,0.00208,657.329206952015,0.0162040091235798,10.1693462322188,2.03094380411789,0.210035323853426,0.399822416483754,0.268995286600056,"meg","one-way"
1,2,3,1,1,1,1,2,1.36,Inf,0,0.0438,0.19156,0.04272,0.00212,643.653734451617,0.0172723588268443,10.7370071632973,1.98869082669147,0.223883203980038,0.422140819262505,0.271477740998898,"meg","one-way"
1,2,3,1,1,1,1,2,1.37,Inf,0,0.04492,0.19536,0.04376,0.00216,630.940438014359,0.0184952287815935,11.2660888890875,1.94941067550378,0.239733965666085,0.442942425313898,0.272690108636048,"meg","one-way"
1,2,3,1,1,1,1,2,1.38,Inf,0,0.04716,0.20028,0.04612,0.004,616.734229149673,0.0195928977796544,11.8157015147597,1.90551788697621,0.253961880605733,0.464551233108251,0.275165048863715,"meg","one-way"
1,2,3,1,1,1,1,2,1.39,Inf,0,0.04848,0.20472,0.0474,0.004,604.043159486067,0.0207771091862992,12.3498611794899,1.86630640963985,0.26931155267816,0.485552485604103,0.277188302261635,"meg","one-way"
1,2,3,1,1,1,1,2,1.4,Inf,0,0.05056,0.21044,0.04952,0.00404,591.358470217778,0.0220211751351444,12.8723187579702,1.82711464575026,0.285437055476136,0.506093653813758,0.279174380303656,"meg","one-way"
1,2,3,1,1,1,1,2,1.41,Inf,0,0.05252,0.21716,0.05152,0.00408,578.314576686919,0.023167070615091,13.3297255104005,1.78681305186413,0.30029007897157,0.524077255600594,0.282389012623593,"meg","one-way"
1,2,3,1,1,1,1,2,1.42,Inf,0,0.0552,0.22464,0.05388,0.00416,565.239457086802,0.024328715366561,13.7532181800961,1.74641497908856,0.315347243511338,0.540727476636871,0.284068252254982,"meg","one-way"
1,2,3,1,1,1,1,2,1.43,Inf,0,0.05784,0.23232,0.05656,0.00444,551.985344978176,0.0255637027588191,14.1879107695237,1.70546387486041,0.331355070642858,0.557818038563248,0.2857063254611,"meg","one-way"
1,2,3,1,1,1,1,2,1.44,Inf,0,0.06176,0.24312,0.06072,0.00632,538.664322844247,0.0266476179154202,14.6004732279461,1.66430603936293,0.345404709174291,0.574038522683881,0.289567304363809,"meg","one-way"
